index,bacteria,chemical,concentration,model,t_min,t_max,t_range,y_min,y_max_data,y_mean,y_std,y_range,y_mean_adjusted,y_std_adjusted,auc_per_hour,y0,ymax,mu_max,h0,t_lag,r_squared,delta_y_max,delta_nu_max,delta_t_lag,delta_auc_per_hour,delta_sum,delta_y_max_norm,delta_nu_max_norm,delta_t_lag_norm,delta_auc_per_hour_norm,delta_sum_norm
507,Acidaminococcus fermentans DSM 20731,DEA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.06533,0.12433,0.10298,0.01742,0.059,0.03765,0.01742,0.10304,0.064,0.11985,0.12605,1.33314,10.57619,0.97622,-0.04167000000000001,-0.33739,-0.5660899999999991,-0.03521999999999999,-0.9803699999999992,0.24414262152399788,-0.7017575943021949,1.083697773228912,0.34274159772926954,0.9688243981799844
508,Acidaminococcus fermentans DSM 20731,DEA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.07767,0.19333,0.14889,0.03757,0.11566,0.07122,0.03757,0.14897,0.07176,0.19581,0.09491,1.194,12.58091,0.98408,0.027329999999999993,-0.36853,1.4386299999999999,0.010709999999999997,1.1081399999999997,0.8618592216363476,-0.771464712416899,0.3394769341583161,0.9326488660055373,1.362520309383302
509,Acidaminococcus fermentans DSM 20731,DEA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.07433,0.15133,0.10068,0.02883,0.077,0.02635,0.02883,0.10058,0.07797,0.151,0.34708,11.46487,33.03221,0.99415,-0.014670000000000016,-0.11636000000000002,21.88993,-0.03767999999999999,21.72122,0.48365796677876627,-0.04886189246353126,-0.6606364917294613,0.312117875424238,0.0862774580100118
510,Acidaminococcus fermentans DSM 20731,DEA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.07,0.08033,0.07399,0.00333,0.01033,0.00399,0.00333,0.07398,0.08025,0.07062,0.0,2.38171,48.0,0.98298,-0.08567000000000001,-0.46344,36.85772,-0.06427999999999999,36.244330000000005,-0.05181989542658369,-1.0315087602176443,-1.1694006645176924,0.05814754247535704,-2.1945817776865635
512,Acidaminococcus fermentans DSM 20731,DETA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.077,0.166,0.13873,0.02921,0.089,0.06173,0.02921,0.13886,0.0777,0.15713,0.44056,4.78931,10.87091,0.97901,0.0,-0.02288000000000001,-0.2713699999999992,0.0006000000000000172,-0.2936499999999992,0.6333171952445416,0.41766663422964534,0.9957281164225535,0.8542770681407879,2.9009890140375285
513,Acidaminococcus fermentans DSM 20731,DETA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.07633,0.18733,0.15137,0.03445,0.111,0.07504,0.03445,0.1515,0.07186,0.18044,0.16047,1.61258,10.04901,0.98266,0.021329999999999988,-0.30297,-1.0932699999999986,0.013240000000000002,-1.3616699999999986,0.8189505670331784,-0.6350858761573505,1.1916055344207188,0.9531942856472913,2.328664510943838
514,Acidaminococcus fermentans DSM 20731,DETA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.073,0.21,0.15694,0.04144,0.137,0.08394,0.04144,0.15702,0.06313,0.20796,0.07869,0.59608,7.57532,0.96281,0.043999999999999984,-0.38475000000000004,-3.56696,0.01876,-3.88895,0.9789131287119476,-0.8065744787629416,1.3912610659313178,1.0011664149225143,2.5647661308028384
515,Acidaminococcus fermentans DSM 20731,DETA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.07067,0.09333,0.08658,0.00387,0.02266,0.01591,0.00387,0.08661,0.07091,0.08748,0.91522,1.93396,2.11311,0.60992,-0.07267000000000001,0.45178,-9.02917,-0.05164999999999999,-8.70171,0.04141260138064308,1.995895084944587,1.6467827031973103,0.15226851671530248,3.836358906237843
516,Acidaminococcus fermentans DSM 20731,Spermine NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.08,0.23133,0.18351,0.04974,0.15133,0.10351,0.04974,0.18367,0.07474,0.22069,0.23703,2.61456,11.03028,0.98514,0.06533,-0.22641000000000003,-0.1120000000000001,0.045410000000000006,-0.2276700000000001,1.1813698487423676,-0.43615581354388655,0.9230628150899135,1.2597953963254436,2.928072246613838
517,Acidaminococcus fermentans DSM 20731,Spermine NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.08,0.161,0.11904,0.02319,0.081,0.03904,0.02319,0.11904,0.08204,14.9081,0.00865,1.84279,212.99186,0.96102,-0.0050000000000000044,-0.45479,201.84958,-0.019219999999999987,201.37057000000001,0.5909490574270496,-1.006706997017012,-3.1412413964905053,0.5571115921680471,-2.9998877439124207
